Episode;Title;Votes;Rating;Airdate
882;The Paramount War! The Inherited Will of the King of the Pira...;379;6.3;28/04/2019
883;One Step Ahead of the Dream - Shirahoshi's Path to the Sun!;351;6.5;05/05/2019
884;I Miss Him! Vivi and Rebecca's Sentiments!;357;6.5;12/05/2019
885;In the Dark Recesses of the Holyland! A Mysterious Giant Stra...;407;7.3;19/05/2019
886;The Uproarious Holy Land - Princess Shirahoshi is being targe...;382;7.1;26/05/2019
887;On the Verge - The Two Yonko Targeting Luffy;873;8.3;02/06/2019
888;Sabo Gets Angry - Tragedy of the Revolutionary Army Officer Kuma;363;7.8;09/06/2019
889;Finally, It Starts! The Conspiracy-filled Reverie!;370;7.5;16/06/2019
890;Marco! The Keeper of Whitebeard's Last Memento!;356;7.3;23/06/2019
891;Climbing Up a Waterfall! A Great Journey Through the Land of ...;1234;8.8;30/06/2019
892;Wano Country! To the Land of Dancing Sakura and Samurai;2217;9.4;07/08/2019
893;Otama Appears! Luffy vs. Kaido's Army!;1536;9.1;14/08/2019
894;He'll Come! The Legend of Ace in the Land of Wano!;1588;9.2;21/08/2019
895;Side Story! The World's Greatest Bounty Hunter, Cidre!;322;6.0;28/08/2019
896;Side Story! Clash! Luffy vs. the King of Carbonation!;323;5.8;04/08/2019
897;Save Otama! Straw Hat, Bounding through the Wasteland!;1322;8.9;11/08/2019
898;The Headliner! Hawkings the Magician Appears!;1106;8.7;18/08/2019
899;Defeat is Inevitable! The Strawman's Fierce Attack!;1743;9.3;25/08/2019
900;The Greatest Day of My Life! Otama and Her Sweet Red-bean Soup!;1087;8.7;01/09/2019
901;Entering Enemy Territory! The Protagonists Spread into the To...;568;7.7;08/09/2019
902;The Yokozuna Appears! The Invincible Urashima Goes After Okiku!;567;7.7;15/09/2019
903;A Climactic Sumo Battle! Straw Hat vs. the Strongest Ever Yok...;491;7.1;22/09/2019
904;Luffy Rages! Rescue Otama from Danger!;458;7.1;29/09/2019
905;Fighting for Otama! Fight against Holdem!;1061;8.6;06/10/2019
906;Duel! The Magician and the Surgeon of Death!;1064;8.6;13/10/2019
907;Romance Dawn;359;6.0;20/10/2019
908;The Coming of the Treasure Ship! Luffytaro Returns the Favor!;1089;8.7;27/10/2019
909;Nazo no Bohyo - Oden Joseki de no Saikai!;1442;9.1;10/11/2019
910;A Legendary Samurai! The Man Who Roger Admired!;1376;9.0;17/11/2019
911;Bringing Down the Emperor of the Sea! A Secret Raid Operation...;871;8.3;24/11/2019
912;The Strongest Man in the World! Shutenmaru, the Thieves Briga...;1897;9.3;01/12/2019
913;Everyone is Annihilated! Kaido's Furious Blast Breath!;1834;9.3;08/12/2019
914;Finally Clashing! The Ferocious Luffy vs. Kaido!;2560;9.6;15/12/2019
915;Hakai-teki! Ichigeki Hissatsu no Raimei Hakke!;2243;9.5;22/12/2019
916;Iki-jigoku! Rufi Kutsujoku no Dai Tankutsu-jo;1470;9.0;05/01/2020
917;The Holyland in Tumult! Emperor of the Sea Blackbeard Cackles!;1747;9.1;12/01/2020
918;Ugokidasu - Dato Kaido Daikeikaku!;919;8.1;19/01/2020
919;Rampage! The Prisoners - Luffy and Kid!;942;8.2;26/01/2020
920;Dai Hyoban! Sanji no Ohako Soba!;662;7.6;02/02/2020
921;Goka Kenran - Wano Kuni Ichi no Bijo: Komurasaki;578;6.9;09/02/2020
922;A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!;947;8.1;16/02/2020
923;A State of Emergency! Big Mom Closes in!;935;8.3;23/02/2020
924;The Capital in an Uproar! Another Assassin Targets Sanji!;1626;9.1;15/03/2020
925;Dashing! The Righteous Soba Mask!;1574;9.2;22/03/2020
926;Zettai Zetsumei - Kyoi no Orochi Oniwabanshu;656;7.8;29/03/2020
927;Shura-jo! Osoreru Daija Shogun Orochi;517;7.5;05/04/2020
928;The Flower Falls! The Final Moment of the Most Beautiful Woma...;521;7.5;12/04/2020
929;The Bond Between Prisoners! Luffy and Old Man Hyo!;521;7.5;19/04/2020
930;A Lead Performer! Queen the Plague Emerges!;609;7.7;28/06/2020
931;Goes up. Luffy's Desperate Escape!;516;7.5;05/08/2020
932;Dead or Alive! Queen's Sumo Inferno!;684;7.9;12/08/2020
933;Gyukimaru! Zoro Fights a Duel on Bandit's Bridge;1522;9.0;19/08/2020
934;A Big Turnover! The Three-Sword Style Overcomes Danger!;2269;9.4;26/08/2020
935;Zoro, Stunned! The Shocking Identity of the Mysterious Woman!;674;8.0;02/08/2020
936;Get the Hang of It! The Land of Wano's Haki - Ryuo!;671;7.9;09/08/2020
937;Tonoyasu! Ebisu's most beloved!;662;7.8;16/08/2020
938;Shaking the nation. The identity of Ushimitsu Kozo;529;7.7;23/08/2020
939;The Straw Hats are running! Save the captive Tonoyasu;1414;9.0;30/08/2020
940;Zoro's Fury! The Truth About the Smile!;2002;9.4;06/09/2020
941;Toko's Tears! Orochi's Pitiless Bullets!;1544;9.1;13/09/2020
942;The Straw Hats Step In! An Uproarious Deadly Battle at the Ex...;1470;9.0;20/09/2020
943;Luffy's Determination! Win Through the Sumo Inferno!;1150;8.7;27/09/2020
944;The Coming of the Storm! Big Mom's Great Rampage!;675;7.7;04/10/2020
945;A Grudge Over Oshiruko - Luffy Gets into a Desperate Situation;1232;8.7;11/10/2020
946;Stop the Emperor of the Sea! Queen's Secret Plan!;683;7.7;18/10/2020
947;The Ultimate Weapon! Excite Bullets Aimed at Luffy;683;7.6;25/10/2020
948;Start Fighting Back! Luffy and the Red Scabbard Samurai!;704;7.7;01/11/2020
949;We're Here to Win! Luffy's Desperate Scream!;1624;9.1;08/11/2020
950;Warriors' Dream! Luffy's Conquer of Udon!;1596;9.0;15/11/2020
951;Orochi's Pursuers! Ninja Army Corps vs. Zoro;1093;8.2;22/11/2020
952;Tension Rises in Onigashima! Two Emperors of the Sea Meet?!;1327;8.7;29/11/2020
953;Hiyori's Confession! Reunion on Oihagi Bridge;1418;8.7;06/12/2020
954;Its Name is Enma! Oden's Meito!;1294;8.5;13/12/2020
955;A New Alliance?! Kaido's Army Gathers;1225;8.1;20/12/2020
956;Ticking Down to the Great Battle! The Straw Hats Go into Comb...;1927;9.1;27/12/2020
957;Big News! The Warlords Attack Incident;7267;9.6;10/01/2021
958;The Legendary Battle! Garp and Roger;4836;9.5;17/01/2021
959;The Promised Port - Opening of Third Act of Wano Country!;3102;9.0;24/01/2021
960;The Greatest Samurai of Wano Country! Kozuki Oden Appears!;3134;8.9;31/01/2021
961;The Crying Apprentice! Oden and Kin'emon!;2972;9.0;07/02/2021
962;Changing Destiny - The Whitebeard Pirates Cast Ashore!;3218;9.3;14/02/2021
963;Oden's Determination! Whitebeard's Trials!;3737;9.4;21/02/2021
964;Whitebeard's Little Brother! Oden's Great Adventure!;3118;9.3;28/02/2021
965;Blades Crossed! Roger and Whitebeard!;5494;9.7;07/03/2021
966;Roger's Wish! A New Journey!;3782;9.5;21/03/2021
967;Devoting His Life! Roger's Adventure;3641;9.5;28/03/2021
968;The Pirate King is Born: Arriving at the Last Island!;8704;9.8;04/04/2021
969;To Wano Country! The Roger Pirates Disband;3190;9.4;11/04/2021
970;Sad News: The Opening of the Great Pirate Era;2719;9.1;18/04/2021
971;Raid! Oden and the Nine Red Scabbards;2805;9.2;25/04/2021
972;The Moment of Conclusion! Oden vs. Kaido!;4004;9.5;02/05/2021
973;Sentenced to Boil! Oden's Deadly Hour!;3233;9.4;09/05/2021
974;Oden Wouldn't Be Oden If It Wasn't Boiled!;5035;9.7;16/05/2021
975;The Castle on Fire! The Fate of the Kozuki Clan!;3232;9.4;23/05/2021
976;Back to the Present Day! 20 Years Later!;2817;9.2;30/05/2021
977;The Sea Is For Pirates! Raid! To Onigashima;3603;9.5;06/06/2021
978;The Worst Generation Charges in! The Battle of the Stormy Sea;3762;9.5;13/06/2021
979;Good Luck!? Leader Kin'emon's Plot;2579;9.0;20/06/2021
980;A Tearful Promise! The Kidnapped Momonosuke!;2431;9.1;27/06/2021
981;A New Member! Knight of the Sea Jinbe!;2671;9.1;04/08/2021
982;Kaido's Trump Card - Introducing the Tobi Roppo;8450;9.6;11/08/2021
983;The Samurai Warriors' Earnestness! The Straw Hats Land at Oni...;2050;8.5;18/08/2021
984;Luffy Goes Out of Control?! Sneaking into Kaido's Banquet;1599;7.5;25/08/2021
985;Thinking of O-Tama - Luffy's Furious Strike;1406;7.8;01/08/2021
986;Fighting Music! The Ability to Attack Luffy!;1286;7.6;08/08/2021
987;The Failing Dream? The Plot to Lure Sanji!;1502;8.2;15/08/2021
988;Arrival of Reinforcements! Captain of the Whitebeard Pirates!;2092;9.0;22/08/2021
989;Oath of Man! Fierce Battle of the Brachiotank;1529;8.3;29/08/2021
990;Thunder Bagua! The Appearance of Kaido's Son;2116;9.0;05/09/2021
991;Enemy or Ally? Luffy and Yamato!;1386;7.9;12/09/2021
992;Desire to be Oden! Yamato's Dream!;2160;8.9;19/09/2021
993;Explosive?! The Handcuffs that Shackle Yamato's Freedom!;1318;7.7;26/09/2021
994;The Scabbards Face-off - Kikunojo vs. Kanjuro;2358;9.1;03/10/2021
995;Raid! Inheriting Oden's Will;3593;9.6;10/10/2021
996;Onigashima in Tumult! Luffy's All-Out War Begins!;2332;9.3;24/10/2021
997;The Battle Under the Moon! The Berserker, Sulong the Moon Lion!;2129;9.0;31/10/2021
998;Zeus' Treason?! The Cornered Nami!;2130;9.0;07/11/2021
999;I'll Protect You! Yamato Meets Momonosuke!;1597;8.2;14/11/2021
1000;Overwhelming Strength! The Straw Hats Come Together!;4401;9.3;21/11/2021
1001;A Risky Invitation! A Plot to Eliminate Queen!;2638;9.0;28/11/2021
1002;A New Rivalry! Nami and Ulti!;1674;7.7;05/12/2021
1003;A Heroic Blade! Akazaya vs. Kaido, Again Once More!;2372;8.2;12/12/2021
1004;An Inherited Technique! Unleashing Oden's Secret Swordplay!;3545;8.5;19/12/2021
1005;The Power of Ice Oni! A New Version of the Plague Rounds!;4988;6.3;09/01/2022
1006;I Won't Forgive Him! Chopper's Determination!;3939;6.3;16/01/2022
1007;Zoro's Pursuit! Ice Oni Tag!;2751;6.2;23/01/2022
1008;Nami Surrenders?! Ulti's Fierce Headbutt!;2,1;6.9;30/01/2022
1009;Sasaki's Onslaught! Armored Division vs. Yamato!;1877;6.7;06/02/2022
1010;Eliminate the Ice Oni! Chopper's Fire Trick!;1611;7.8;13/02/2022
1011;It's Not Okay! The Spider Lures Sanji!;1172;7.7;20/02/2022
1012;A Turnaround Move! The Flames of Marco the Phoenix!;1282;7.5;27/02/2022
1013;Yamato's Past! The Man Who Came for an Emperor of the Sea!;2117;8.8;06/03/2022
1014;Marco's Tears! The Bond of the Whitebeard Pirates!;1776;8.2;17/04/2022
1015;Straw Hat Luffy! The Man Who Will Become the King of the Pira...;21188;9.7;24/04/2022
1016;The Battle of the Monsters! The Three Stubborn Captains!;3042;9.2;08/05/2022
1017;Barrage of Powerful Techniques! The Fierce Attacks of the Wor...;6653;9.8;15/05/2022
1018;Kaido Laughs! The Emperors of the Sea vs. the New Generation!;1935;9.0;22/05/2022
1019;Otama's Secret Plan! Operation Kibi Dango!;827;7.7;29/05/2022
1020;Sanji's Scream! An SOS Echoes Over the Island!;683;7.8;05/06/2022
1021;Spank Strikes! Sanji's Woman-trouble!;628;7.8;12/06/2022
1022;No Regrets! Luffy and Boss, a Master-Disciple Bond!;608;7.8;19/06/2022
1023;All Set! Chopperphage Nebulizer!;555;7.6;03/08/2022
1024;Oden Appears! The Confused Hearts of the Akazaya Members;655;7.8;10/08/2022
1025;The Worst Generation Gets Wiped Out?! The Emperors' Deadly At...;1627;9.1;17/08/2022
1026;The Supernovas Strike Back! The Mission to Tear Apart the Emp...;2109;9.5;24/08/2022
1027;Defend Luffy! Zoro and Law's Sword Technique!;2051;9.5;31/08/2022
1028;Surpass the Emperor of the Sea! Luffy Strikes Back with an Ir...;2427;9.7;07/08/2022
1029;A Faint Memory! Luffy and Red-Haired's Daughter Uta!;494;7.1;14/08/2022
1030;The Oath of the New Era! Luffy and Uta!;461;7.7;21/08/2022
1031;Nami's Scream - The Desperate Death Race!;517;7.7;04/09/2022
1032;The Dawn of the Land of Wano - The All-Out Battle Heats Up!;478;7.4;11/09/2022
1033;The Conclusion! Luffy's Accelerating Fist of the Supreme King;2232;9.6;18/09/2022
1034;Luffy Defeated! The Straw Hats in Jeopardy?!;446;7.7;25/09/2022
1035;The Animal Kingdom Pirates Trample Down! The End of the Kozuk...;455;7.6;02/10/2022
1036;Fight Against the Dark Night - The Commander-in-Chief of Wano...;1283;9.1;16/10/2022
1037;Believe in Luffy! The Alliance's Counterattack Begins!;396;7.1;23/10/2022
1038;Nami's Lethal Attack! O-Tama's Desperate Challenge!;598;8.3;30/10/2022
1039;A Dramatic Increase of Allies! Straw Hats Fight Back!;406;7.6;06/11/2022
1040;A Helmsman's Pride - An Angry Jinbe!;522;8.3;13/11/2022
1041;Showdown Battles of the Monsters! Yamato and Franky;373;7.1;20/11/2022
1042;The Predator's Trap - Black Maria's Temptation;419;6.8;27/11/2022
1043;Slash the Nightmare - Brook Draws His Freezing Sword!;513;8.2;04/12/2022
1044;Clutch! A Demon Incarnate, Robin!;1365;9.4;11/12/2022
1045;A Spell! Kid and Zoro Facing Threats!;1133;9.2;18/12/2022
1046;Taking a Chance! The Two Arms Go into Battle!;1659;9.4;08/01/2023
1047;Rise to Dawn! The Peach Colored Dragon Rages!;626;7.7;15/01/2023
1048;For the Future! Yamato and the Great Swordsmen's Pledge!;1159;9.1;22/01/2023
1049;Luffy Soars! Revenge Against the King of the Beasts!;1425;9.4;29/01/2023
1050;Two Dragons Face Off! Momonosuke's Determination!;569;8.1;05/02/2023
1051;A Legend All Over Again! Luffy's Fist Roars in the Sky;1046;9.2;12/02/2023
1052;The Situation Has Grown Tense! The End of Onigashima!;507;8.0;N/A
1053;Sanji's Mutation - The Two Arms in Crisis!;737;7.9;N/A
1054;Death to Your Partner! Killer's Deadly Gamble!;444;8.5;19/03/2023
1055;A Shadowy Figure Pulls the Strings! Onigashima in Flames;292;7.3;26/03/2023
1056;A Countercharge! Law and Kid's Return-Attack Combination;157;8.8;02/04/2023
